@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

'kredyt przyznany',10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20200315.1725,21,9,7,2,0,77.777778,22.222222,0,0.55,0.238944,0.454326,47.559114,90.344851,9.07505,13.925444,-4.850394,1.008339,1.547272,-0.538933,4.822907,0.535879,53.144688,0.75,3,0.2,1,0.8,4,0.25,1,0.75,0.75,0.75,0.55,0.85,0.804167,0.777778,0.227778,0.772222,0.222222,0.777778,0.777778,0.777778,0.55,0.85,0.871296,0.775,0.777778,0,0,0.000077,0.000053,0.077,0.053,4199,4470,3066,88.888889,61.111111,?,?,?,?,?,?,?,?,?,?,?,?,?
'kredyt przyznany',1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20200315.1725,20,10,8,2,0,80,20,0,0.6,0.26,0.412311,52,82.462113,10,7.859881,2.140119,1,0.785988,0.214012,5.087981,0.508798,50.879814,0.8,4,0.2,1,0.8,4,0.2,1,0.8,0.8,0.8,0.6,0.8,0.74,0.8,0.2,0.8,0.2,0.8,0.8,0.8,0.6,0.8,0.74,0.8,0.8,0.001,0,0.000171,0.000021,0.171,0.021,4067,4353,3183,100,100,'Number of leaves: 2\nSize of the tree: 3\n',?,?,?,?,?,?,?,?,?,3,2,2
'kredyt przyznany',2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20200315.1725,20,10,8,2,0,80,20,0,0.6,0.26,0.412311,52,82.462113,10,7.859881,2.140119,1,0.785988,0.214012,5.087981,0.508798,50.879814,0.8,4,0.2,1,0.8,4,0.2,1,0.8,0.8,0.8,0.6,0.8,0.74,0.8,0.2,0.8,0.2,0.8,0.8,0.8,0.6,0.8,0.74,0.8,0.8,0,0,0.000256,0.000033,0.256,0.033,4067,4353,3183,100,100,'Number of leaves: 2\nSize of the tree: 3\n',?,?,?,?,?,?,?,?,?,3,2,2
'kredyt przyznany',3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20200315.1725,21,9,7,2,0,77.777778,22.222222,0,0.55,0.275758,0.434772,54.886364,86.456439,9.07505,7.801883,1.273167,1.008339,0.866876,0.141463,4.338574,0.482064,47.807713,0.75,3,0.2,1,0.8,4,0.25,1,0.75,0.75,0.75,0.55,0.775,0.673611,0.777778,0.227778,0.772222,0.222222,0.777778,0.777778,0.777778,0.55,0.775,0.716667,0.775,0.777778,0,0,0.000289,0.000055,0.289,0.055,4067,4470,3066,100,100,'Number of leaves: 2\nSize of the tree: 3\n',?,?,?,?,?,?,?,?,?,3,2,2
'kredyt przyznany',4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20200315.1725,21,9,6,3,0,66.666667,33.333333,0,0.307692,0.342593,0.563143,68.189103,111.983557,9.07505,2151.836024,-2142.760975,1.008339,239.092892,-238.084553,2.941329,0.326814,32.411165,0.5,2,0.2,1,0.8,4,0.5,2,0.666667,0.5,0.571429,0.316228,0.65,0.555556,0.666667,0.366667,0.633333,0.333333,0.666667,0.666667,0.658009,0.316228,0.65,0.604938,0.649351,0.666667,0,0,0.000144,0.000017,0.144,0.017,4067,4470,3066,77.777778,66.666667,'Number of leaves: 2\nSize of the tree: 3\n',?,?,?,?,?,?,?,?,?,3,2,2
'kredyt przyznany',5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20200315.1725,20,10,9,1,0,90,10,0,0.8,0.1,0.316228,20,63.245553,10,1074,-1064,1,107.4,-106.4,8,0.8,80,0.8,4,0,0,1,5,0.2,1,1,0.8,0.888889,0.816497,0.9,0.9,0.9,0.1,0.9,0.1,0.916667,0.9,0.89899,0.816497,0.9,0.866667,0.89899,0.9,0,0,0.000175,0.000019,0.175,0.019,4795,4353,3183,90,50,'Number of leaves: 4\nSize of the tree: 7\n',?,?,?,?,?,?,?,?,?,7,4,4
'kredyt przyznany',6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20200315.1725,21,9,9,0,0,100,0,0,1,0.055556,0.117851,11.057692,23.43525,9.07505,0.830075,8.244975,1.008339,0.092231,0.916108,8.244975,0.916108,90.853218,1,4,0,0,1,5,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0.000238,0.000019,0.238,0.019,4795,4470,3066,100,61.111111,'Number of leaves: 4\nSize of the tree: 7\n',?,?,?,?,?,?,?,?,?,7,4,4
'kredyt przyznany',7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20200315.1725,20,10,7,3,0,70,30,0,0.4,0.3,0.547723,60,109.544512,10,3222,-3212,1,322.2,-321.2,4,0.4,40,0.6,3,0.2,1,0.8,4,0.4,2,0.75,0.6,0.666667,0.408248,0.7,0.65,0.7,0.3,0.7,0.3,0.708333,0.7,0.69697,0.408248,0.7,0.641667,0.69697,0.7,0,0,0.000178,0.000032,0.178,0.032,4795,4353,3183,70,50,'Number of leaves: 4\nSize of the tree: 7\n',?,?,?,?,?,?,?,?,?,7,4,4
'kredyt przyznany',8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20200315.1725,21,9,6,3,0,66.666667,33.333333,0,0.307692,0.333333,0.57735,66.346154,114.808811,9.07505,3222,-3212.92495,1.008339,358,-356.991661,3.06686,0.340762,33.794418,0.5,2,0.2,1,0.8,4,0.5,2,0.666667,0.5,0.571429,0.316228,0.65,0.555556,0.666667,0.366667,0.633333,0.333333,0.666667,0.666667,0.658009,0.316228,0.65,0.604938,0.649351,0.666667,0.001,0,0.000203,0.00003,0.203,0.03,4795,4470,3066,66.666667,50,'Number of leaves: 4\nSize of the tree: 7\n',?,?,?,?,?,?,?,?,?,7,4,4
'kredyt przyznany',9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20200315.1725,20,10,7,3,0,70,30,0,0.4,0.318182,0.53397,63.636364,106.794001,10,2151.871942,-2141.871942,1,215.187194,-214.187194,3.724993,0.372499,37.24993,0.8,4,0.4,2,0.6,3,0.2,1,0.666667,0.8,0.727273,0.408248,0.7,0.633333,0.7,0.3,0.7,0.3,0.708333,0.7,0.69697,0.408248,0.7,0.641667,0.69697,0.7,0,0,0.000149,0.000022,0.149,0.022,4067,4353,3183,80,70,'Number of leaves: 2\nSize of the tree: 3\n',?,?,?,?,?,?,?,?,?,3,2,2
